word	abbreviation
Extension	EXTN
Fabricate	FAB
Facility	FACIL
Failure	FAIL
Failed	FAIL
Family	FAM
Farming	FARM
Farmer	FARM
Farmed	FARM
Fatty	FAT
Fruit/Vegetable	FAV
Fiber	FBR
Focal	FCL
Facility	FCLY
Function	FCTN
Factored	FCTR
Factor	FCTR
Feedback	FDBK
Feeder	FDR
Fiduciary	FDRY
Feasibility	FEAS
Feature	FEAT
February	FEB
Federal	FED
Fertility	FERT
Feature	FETR
Forfeiture	FFT
Forfeited	FFT
Forfeit	FFT
Foreign	FGN
Figure	FIG
Filler	FIL
Filing	FILE
Filed	FILE
Financial	FINC
Finance	FINC
Finding	FIND
Final	FINL
Fiscal	FISC
Fixed	FIX
Flaxseed	FLAX
Fluctuation	FLCT
Flood	FLD
Field	FLD
Flexible	FLEX
Filename	FLNM
Floor	FLR
Floral	FLRL
Filter	FLTR
Flower	FLWR
Follow-up	FLWUP
Followup	FLWUP
Flexible	FLX
Flexibility	FLX
Flaxseed	FLXS
Formula	FMLA
Farmland	FMLD
Formattted	FMT
Format	FMT
Financing	FNC
Finance	FNC
Financial	FNCL
Found	FND
Foundation	FNDTN
Fungus	FNGS
Final	FNL
Finished	FNSH
Finish	FNSH
Fodder	FODDR
Foliage	FOLG
Forced	FORCE
Forfeit	FORFT
Foreman	FORMN
Format	FORMT
Forestland	FORSTLND
Forbearance	FRBR
Forbear	FRBR
Force	FRC
Foreclosure	FRCLS
Foreclose	FRCLS
Forecasting	FRCST
Forecast	FRCST
Fraction	FRCTN
Frequency	FREQ
Freeze	FREZ
Forage	FRG
Fragile	FRGL
Fragment	FRGMT
Freight	FRGT
Forgiveness	FRGV
Forgiven	FRGV
Forgive	FRGV
Frame	FRM
Former	FRMR
Franchise	FRNC
Frost	FROST
Frequency	FRQ
Forest	FRST
Freight	FRT
Fourth	FRTH
Fourteen	FRTN
Fruit	FRUT
Forward	FRWRD
Freezer	FRZ
Freeze	FRZ
Refused	FS
Fiscal	FSCL
Forestland	FSLD
Forestry	FST
Forest	FST
First	FST
Feet	FT
Fifth	FTH
Faith	FTH
Fifteen	FTN
Footnote	FTNT
Future	FTR
Fully	FULL
Fumigation	FUMGTN
Functional	FUNC
Function	FUNC
Funding	FUND
Furnish	FURNS
Future	FUT
Forwarding	FWD
Forwarder	FWD
Forwarded	FWD
Forward	FWD
Gallon	GAL
Garlic	GARL
Generated	GEN
General	GEN
Genus	GENUS
Geographic	GEO
Global	GLBL
Glucosinolate	GLCO
Gender	GNDR
Generated	GNRT
Generate	GNRT
Government	GOVT
Grandparent	GPRNT
Gross	GR
Graduation	GRAD
Graduated	GRAD
Gradual	GRAD
Granted	GRANT
Grass	GRAS
Grayness	GRAY
Grazing	GRAZ
Grade	GRD
Guardian	GRDN
Great	GREAT
Gregorian	GREG
Garlic	GRLC
Green	GRN
Grain	GRN
Garnishment	GRNS
Garnished	GRNS
Garnish	GRNS
Grouping	GRP
Group	GRP
Graph	GRPH
Greater	GRT
Growth	GRW
Grazing	GRZ
Grazed	GRZ
Graze	GRZ
Guarantor	GUAR
Guaranteed	GUAR
Guarantee	GUAR
Guardian	GUARDN
Government	GVT
Habital	HABIT
Habit	HABIT
Handicap	HANDCP
Harvest	HARV
Habitat	HBT
Hubzone	HBZN
Handicapped	HCP
Handicap	HCP
Handbook	HDBK
Handoff	HDOF
Headquarters	HDQ
Header	HDR
Header	HEAD
Hearing	HEAR
Heater	HEAT
Hedging	HEDG
Height	HGT
Highly	HIGH
Highest	HIGH
History	HIST
Historical	HIST
Holder	HLDR
Holiday	HLDY
Handling	HNDL
Handled	HNDL
Handle	HNDL
Honey	HNY
Holiday	HOL
Hopper	HOPR
Hopper	HOPR
Headquarters	HQ
Hours	HRS
Housing	HSG
Household	HSHL
Household	HSHLD
Hispanic	HSPC
Hispanic	HSPNC
Height	HT
Human	HUMAN
Humidity	HUMID
Harvested	HVST
Harvest	HVST
Hardware	HW
Hybrid	HYBRD
Hydrology	HYDRO
Hydrological	HYDRO
Hydrologic	HYDRO
Hazard	HZRD
Iodine	I
Inactive	IACTV
Incumbency	ICMB
Incompetent	ICMP
Incorrect	ICOR
Incomplete	ICPLT
Inconspicuous	ICSPC
Identity	ID
Identifier	ID
Identified	ID
Identification	ID
Indirect	IDIR
Indemnity	IDMTY
Industry	IDST
Industrial	IDST
Index	IDX
Ineligible	IELG
Inhouse	IHS
Immediate	IMDT
Image	IMG
Immediate	IMMED
Imminent	IMNT
Impact	IMPC
Implemented	IMPL
Implementation	IMPL
Implement	IMPL
Implementation	IMPLMNT
Implement	IMPLMNT
Importer	IMPT
Importer	IMPT
Importance	IMPT
Import	IMPT
Inaccurate	INAC
Inbound	INBD
Inclusive	INCL
Included	INCL
Income	INCM
Increment	INCMT
Inconspicuous	INCNSPC
Incompetent	INCOMP
Increase	INCR
Increase	INCR
Increment	INCRMT
Incentive	INCTV
Incurred	INCUR
Indicator	IND
Indian	IND
Indebtedness	INDEBT
Indebted	INDEBT
Individual	INDIV
Independent	INDP
Industrial	INDUST
Individual	INDV
Index	INDX
Ineligible	INELIG
Information	INFO
Infested	INFS
Inherited	INHRT
Initiate	INI
Intitiated	INIT
Initiator	INIT
Initiation	INIT
Initiate	INIT
Initials	INIT
Initialization	INIT
Initial	INIT
Inland	INLD
Inlieu	INLU
Inquiry	INQ
Insured	INS
Insurance	INS
Insurance	INS
Insurable	INSB
Inside	INSD
Inspector	INSP
Inspection	INSP
Inspect	INSP
Inserted	INSRT
Insert	INSRT
Institution	INST
Installment	INSTAL
Installation	INSTAL
Install	INSTAL
Instance	INSTC
Instrument	INSTR
Interest	INT
Integer	INT
Interface	INTFC
Integrated	INTG
Internal	INTL
Intermodal	INTMD
Intermediate	INTMD
Intention	INTN
Intended	INTN
Interim	INTRM
Interrupt	INTRPT
Interval	INTRVL
Interval	INTVL
Invoice	INV
Inventory	INV
Invoice	INVC
Involvement	INVL
Involved	INVL
Involve	INVL
Invalid	INVLD
Inventory	INVN
Involuntary	INVOLUNT
Investment	INVST
Invite	INVT
Invitation	INVT
Input	IP
Improved	IPRV
Input	IPUT
Interface	IRF
Irrigation	IRR
Irrigated	IRR
Irrevocable	IRVC
Insect	ISCT
Insufficient	ISFC
Islander	ISL
Issued	ISS
Issue	ISS
Installment	ISTL
Installed	ISTL
Installation	ISTL
Instruction	ISTR
Instore	ISTR
Issue	ISU
Issuance	ISU
Intercom	ITCM
Interim	ITRM
Iteration	ITRT
Iterate	ITRT
Intervening	ITVN
Intervene	ITVN
Invalid	IVLD
January	JAN
Junction	JCT
Judgement	JDG
Judgement	JGMNT
Joint	JNT
Journal	JRNL
July	JUL
Julian	JUL
Julian	JULN
June	JUN
Justify	JUST
Justification	JUST
Kilobyte	KB
Kilogram	KG
Knowledge	KNWLG
Kernel	KRNL
Kilosegment	KSGMT
Keystroke	KSTRK
Language	LANG
Latitude	LATD
Pounds	LB
Pound	LB
Label	LBL
Labor	LBR
Leach	LCH
Local	LCL
Lodging	LDG
Ledger	LDGR
Loadout	LDOT
Legislation	LEGIS
Lifespan	LFSP
Legacy	LGCY
Legal	LGL
Longitude	LGTD
Length	LGTH
Lienholder	LHLDR
Liability	LIA
Library	LIB
Liability	LIBLTY
Licensed	LIC
License	LIC
Liquidate	LIQ
Liquid	LIQ
Listing	LIST
Liveweight	LIVEWT
Landlord	LLRD
Lumber	LMBR
Limitation	LMT
Limit	LMT
Lender	LNDR
Linkage	LNK
Loading	LOAD
Loaded	LOAD
Loaned	LOAN
Locator	LOC
Location	LOC
Locked	LOCK
Logical	LOG
Logical	LOGCL
Login	LOGIN
Logon	LOGON
Losses	LOSS
Lowest	LOW
Lower	LOW
Liquidation	LQD
Liquidated	LQD
Large	LRG
Lease	LSE
Lessee	LSEE
Lessor	LSOR
List	LST
Limited	LTD
Litigation	LTGT
Litigated	LTGT
Litigate	LTGT
Latino	LTN
Letter	LTR
Lateral	LTRL
Leave	LV
Level	LVL
Livestock	LVSTK
Livestock	LVSTOCK
Liveweight	LVWT
Lawyer	LWYR
Layout	LYOT
Macro	MAC
Machine	MACH
Misaction	MACTN
Magnetic	MAG
Mailing	MAIL
Mailed	MAIL
Maintenance	MAINT
Major	MAJ
Maker	MAKE
Malting	MALT
Mandatory	MAND
March	MAR
Marginal	MARGN
Mature	MATR
Maximum	MAX
May	MAY
Megabyte	MB
Member	MBR
Micronaire	MCRN
Maryland	MD
Module	MDL
Model	MDL
Modem	MDM
Median	MDN
Mediation	MDT
Measurement	MEAS
Measured	MEAS
Measure	MEAS
Mechanism	MECH
Medium	MED
Media	MEDIA
Memory	MEM
Member	MEMB
Merge	MERG
Manufacturer	MFR
Manufacture	MFR
Mainframe	MFRM
Management	MGMT
Manager	MGR
Management	MGT
Microcode	MICRO
Middle	MID
Migration	MIGR
Migrated	MIGR
Military	MIL
Minute	MIN
Minimum	MIN
Minimal	MIN
Minimum	MINI
Minority	MINRTY
Miscellaneous	MISC
Missing	MISS
Missed	MISS
Mitigation	MITG
Mixture	MIX
Mixed	MIX
Marketing	MKT
Market	MKT
Mileage	MLG
Minute	MN
Mandatory	MND
Managed	MNG
Manual	MNL
Minority	MNR
Minor	MNR
Maintenance	MNT
Monetize	MNTZ
Money	MNY
Money	MNY
Monthly	MO
Month	MO
Module	MOD
Modify	MOD
Modifier	MOD
Modified	MOD
Modification	MOD
Mohair	MOHR
Mortgage	MORT
Moving	MOVE
Moved	MOVE
Move	MOVE
Merger	MRG
Marginal	MRGN
Margin	MRGN
Merit	MRT
Mortal	MRTL
Marital	MRTL
Mass	MS
Message	MSG
Mudslide	MSLD
Missing	MSNG
Moisture	MST
Master	MST
Mustard	MSTRD
Musty	MSTY
Mount	MT
Match	MTCH
Midterm	MTERM
Meeting	MTG
Method	MTHD
Motor	MTR
Meter	MTR
Mature	MTR
Matter	MTR
Metric	MTRC
Material	MTRL
Maturity	MTRTY
Multiplier	MULT
Multiple	MULT
Nitrogen	N
Nonaction	NACTN
Nafec	NAF
Nonagricultural	NAG
Nonallocated	NALOC
Nationwide	NAT
National	NAT
Nation	NAT
Number	NBR
Noncash	NCASH
Noncompliance	NCMPL
Nonconcurrence	NCNCR
Noncapitalized	NCPTL
Nearest	NEAR
Negative	NEG
Nonessential	NESNL
Nonestablished	NESTB
Nightly	NGHT
Night	NGHT
Nongrazing	NGRZ
Negotiation	NGT
Negotiate	NGT
Negotiable	NGT
Nonguaranteed	NGUAR
Nonharvested	NHARV
Nonirrigation	NI
Nonirrigated	NI
Noninspected	NINSP
Nickname	NKNM
Name	NM
Name	NME
Numerator	NMRTR
Nonoil	NOIL
Noise	NOISE
Nonoperational	NOPER
Non Operational	NOPER
Normal	NORM
Notation	NOTE
Notification	NOTIFY
November	NOV
Noxious	NOX
Nonparticipating	NP
Nonprocurement	NPCMT
Nonprogram	NPGM
Nonprofit	NPRFT
Nonproven	NPRV
Nonpossession	NPSN
Nonpayment	NPYMT
Nonquota	NQTA
Nonresident	NRES
Nonstandard	NSTD
Nonsovereign	NSVRN
Notice	NTCE
Notify	NTFY
Notified	NTFY
Notification	NTFY
National	NTL
Natural	NTRL
Native	NTV
Network	NTWK
Nuclear	NUCLR
Numeric	NUM
Number	NUM
Nursery	NURS
Next	NXT
Objective	OBJ
Objectionable	OBJ
Object	OBJ
Objectionable	OBJBLE
Obligation	OBL
Obligated	OBL
Obligate	OBL
Obligor	OBLGR
Observation	OBS
Obsolete	OBSLT
Occurrence	OCC
Occur	OCC
Occupation	OCC
Occupational	OCCP
